Equipo,Puesto,Jugador,Edad,Nacimiento,dia_mes,nro_mes,año,Altura_cm,Ciudad_nac,Pais_nac
Gimnasia (LP),MED,Tomás Muro,21,5/5/2002,05-may,5,2002,180,,Argentina
Independiente,MED,Tomás Pozzo,23,9/27/2000,27-sep,9,2000,171,,Argentina
Belgrano,DEL,Ulises Sánchez,25,6/26/1998,26-jun,6,1998,167,,Argentina
Boca Juniors,MED,Valentín Barco,19,7/23/2004,23-jul,7,2004,168,25 de Mayo,Argentina
Huracan,MED,Valentín Burgoa,23,8/16/2000,16-ago,8,2000,175,Guaymallén,Argentina
Talleres (C),DEL,Valentin Depietri,23,10/31/2000,31-oct,10,2000,178,,Argentina
Velez,DEF,Valentin Gomez,20,6/26/2003,26-jun,6,2003,181,San Miguel,Argentina
Platense,DEL,Vicente Taborda,22,6/16/2001,16-jun,6,2001,175,Gualeguay,Argentina
Tigre,DEF,Victor Aguilera,34,6/11/1989,11-jun,6,1989,187,Mendoza,Argentina
Tigre,DEF,Víctor Cabrera,31,2/7/1993,07-feb,2,1993,179,,Argentina
Velez,DEL,Walter Bou,30,8/25/1993,25-ago,8,1993,176,Concordia,Argentina
Huracan,DEL,Walter Mazzantti,27,9/5/1996,05-sep,9,1996,175,Labarden,Argentina
Rosario Central,MED,Walter Montoya,30,7/21/1993,21-jul,7,1993,172,Machagai,Argentina
Newells,MED,Willer Ditta,26,1/23/1998,23-ene,1,1998,175,Bogotá,Colombia
Atl Tucuman,DEF,Wilson Ibarrola,27,7/2/1996,02-jul,7,1996,172,,Paraguay
Sarmiento (J),MED,Yair Arismendi,26,4/5/1998,05-abr,4,1998,,,Argentina
Union,MED,Yeison Gordillo,31,6/25/1992,25-jun,6,1992,176,Miranda (Cauca),Colombia
Atl Tucuman,DEF,Yonathan Cabral,31,5/10/1992,10-may,5,1992,188,Isidro Casanova,Argentina
Estudiantes (LP),DEF,Zaid Romero,24,12/15/1999,15-dic,12,1999,193,Mendoza,Argentina
